ID,Name,Damage,Area,Date,Year,Decade,WindSpeed,Pressure,State,WealthPerCap,Population
AL011900,Galveston,30000000,2826.1,9/9/00,1900,1900,120,936,TX,886.6529426,119724
AL041901,Storm 4 in 1901,1000000,28.6,8/14/01,1901,1900,75,973,LA,941.5700461,371192
AL031903,Storm 3 in 1903,670000,1394.2,9/11/03,1903,1900,75,976,FL,1054.905202,4556
AL021904,Storm 2 in 1904,1000000,62.7,9/14/04,1904,1900,70,971,SC,1025.246032,155567
AL061906,Storm 6 in 1906,4000000,298.3,9/27/06,1906,1900,95,958,MS,1191.468913,112559
AL081906,Storm 8 in 1906,200000,184.6,10/18/06,1906,1900,105,953,FL,1191.468913,9093
AL041909,Valasco,2000000,194.6,7/21/09,1909,1900,100,960,TX,1168.337145,87964
AL091909,Grand Isle,5000000,297.8,9/21/09,1909,1900,100,952,LA,1168.337145,143689
AL111909,Storm 10 in 1909,1000000,833.2,10/11/09,1909,1900,100,957,FL,1168.337145,10273
AL051910,Storm 5 in 1910,500000,335.5,10/18/10,1910,1910,100,955,FL,1186.502493,12559
AL031911,Storm 3 in 1911,1000000,45.7,8/28/11,1911,1910,85,972,SC,1200.254279,182468
AL041913,Storm 4 in 1913,3000000,217,9/3/13,1913,1910,75,976,NC,1320.557266,104705
AL021915,Galveston,50000000,2215.1,8/17/15,1915,1910,115,940,TX,1261.784595,178896
AL061915,New Orleans,13000000,327.8,9/29/15,1915,1910,112,945,LA,1261.784595,314286
AL021916,Storm 2 in 1916,3000000,136.4,7/5/16,1916,1910,105,950,AL,1596.990027,137683
AL061916,Storm 6 in 1916,1800000,379.7,8/18/16,1916,1910,115,934,TX,1596.990027,29687
AL011918,Storm 1 in 1918,5000000,327,8/6/18,1918,1910,105,955,LA,2379.407456,64270
AL021919,Storm 2 in 1919,2000000,158,9/9/19,1919,1910,127,927,FL,2445.811609,51760
AL021919,Storm 2 in 1919,20000000,2386.6,9/14/19,1919,1910,100,950,TX,2445.811609,34263
AL021920,Storm 2 in 1920,1450000,50,9/22/20,1920,1920,85,976,LA,2723.638365,106395
AL061921,Tampa Bay,3000000,82.2,10/25/21,1921,1920,100,958,FL,2224.53912,164068
AL011926,Storm 1 in 1926,3051000,153.3,7/28/26,1926,1920,90,967,FL,2616.761927,76032
AL031926,Storm 3 in 1926,7000000,257.3,8/25/26,1926,1920,100,955,LA,2616.761927,103949
AL071926,Great Miami,76000000,3931.4,9/18/26,1926,1920,125,930,FL,2616.761927,73876
AL071926,Great Miami,29000000,622.8,9/20/26,1926,1920,100,955,AL,2616.761927,177946
AL041928,Lake Okeechobee,25000000,1799.1,9/17/28,1928,1920,127,929,FL,2717.639346,51132
AL011929,Storm 1 in 1929,675000,44.4,6/28/29,1929,1920,80,983,TX,2716.651077,56024
AL021929,Storm 2 in 1929,100000,3,9/28/29,1929,1920,100,949,FL,2716.651077,123523
AL021929,Storm 2 in 1929,200000,14,10/1/29,1929,1920,70,975,FL,2716.651077,52684
AL021932,Freeport,7500000,216.7,8/14/32,1932,1930,130,935,TX,2012.821231,171929
